symbol,date,open,high,low,close,volume,adjusted
UNH,2015-01-02,101.5,102.62000274658203,100.01000213623047,100.77999877929688,3060900,83.35271453857422
UNH,2015-01-05,100.30000305175781,100.44999694824219,98.75,99.12000274658203,4679000,81.979766845703125
UNH,2015-01-06,99.83000183105469,100.13999938964844,98.45999908447266,98.91999816894531,3468300,81.81434631347656
UNH,2015-01-07,98.95999908447266,100.30000305175781,98.91999816894531,99.93000030517578,3225800,82.6496810913086
UNH,2015-01-08,101.56999969482422,104.9800033569336,100.72000122070313,104.69999694824219,5346100,86.5948486328125
UNH,2015-01-09,104.41999816894531,104.62999725341797,102.9000015258789,103.72000122070313,3397600,85.78430938720703
UNH,2015-01-12,103.83000183105469,104,101.91000366210938,102.55000305175781,3051500,84.81664276123047
UNH,2015-01-13,103.94000244140625,105.5999984741211,101.83999633789063,103.06999969482422,3856500,85.24671936035156
UNH,2015-01-14,101.61000061035156,103.4800033569336,101.18000030517578,103.33000183105469,4725600,85.4617691040039
UNH,2015-01-15,103.55999755859375,104.58999633789063,103.12999725341797,104.45999908447266,5888900,86.396331787109375
UNH,2015-01-16,104.5,106,103.6500015258789,105.7699966430664,6045500,87.47982025146484
UNH,2015-01-20,106.19999694824219,106.37999725341797,104.5,105.62000274658203,6526800,87.355743408203125
UNH,2015-01-21,106.5199966430664,109.44999694824219,105.62000274658203,109.31999969482422,8293700,90.41593933105469
UNH,2015-01-22,109.75,114.12000274658203,109.33000183105469,113.8499984741211,8055200,94.16258239746094
UNH,2015-01-23,113.63999938964844,114.31999969482422,112,112,5256000,92.63250732421875
UNH,2015-01-26,112,112,110.76000213623047,111.61000061035156,4203400,92.30995178222656
UNH,2015-01-27,110.94999694824219,111.25,109.91999816894531,110.01000213623047,4718300,90.98661804199219
UNH,2015-01-28,110.56999969482422,110.87999725341797,108.44999694824219,108.45999908447266,6633500,89.70465850830078
UNH,2015-01-29,108.1500015258789,109.58000183105469,106.73999786376953,109.38999938964844,4912300,90.47383117675781
UNH,2015-01-30,108.62000274658203,109.38999938964844,106.13999938964844,106.25,5397500,87.8768081665039
UNH,2015-02-02,106.7300033569336,107.33999633789063,105.06999969482422,107.29000091552734,4657100,88.736968994140625
UNH,2015-02-03,107.3499984741211,108,106.5199966430664,107.80999755859375,4192600,89.167022705078125
UNH,2015-02-04,106.83000183105469,108.73999786376953,106.75,107.91999816894531,4768900,89.25801086425781
UNH,2015-02-05,108.31999969482422,109.80999755859375,108.31999969482422,108.81999969482422,3297700,90.00240325927734
UNH,2015-02-06,108.58999633789063,109.4000015258789,107.19000244140625,107.5999984741211,3661400,88.99335479736328
UNH,2015-02-09,106.93000030517578,107.23999786376953,106.27999877929688,106.48999786376953,3909700,88.07532501220703
UNH,2015-02-10,107.26000213623047,109.45999908447266,107.12999725341797,108.97000122070313,5437400,90.12645721435547
UNH,2015-02-11,108.7300033569336,110.05999755859375,108.37999725341797,109.8499984741211,3798500,90.854278564453125
UNH,2015-02-12,110.69999694824219,110.77999877929688,108.83000183105469,109.83999633789063,3378000,90.84600830078125
UNH,2015-02-13,109.69000244140625,109.83999633789063,108.68000030517578,109.44000244140625,3727600,90.51519775390625
UNH,2015-02-17,109.33999633789063,109.76000213623047,108.5199966430664,109.76000213623047,3430600,90.77985382080078
UNH,2015-02-18,109.76000213623047,110.22000122070313,108.94999694824219,109.7699966430664,2958700,90.78809356689453
UNH,2015-02-19,109.54000091552734,110.36000061035156,109.44000244140625,110.02999877929688,2674800,91.00316619873047
UNH,2015-02-20,109.95999908447266,112.81999969482422,109.44000244140625,112.62000274658203,4647100,93.1452865600586
UNH,2015-02-23,112.98999786376953,116.48999786376953,112.8499984741211,116.4000015258789,7060000,96.27164459228516
UNH,2015-02-24,116.26000213623047,116.58000183105469,115.31999969482422,115.43000030517578,3582800,95.469390869140625
UNH,2015-02-25,115.81999969482422,115.81999969482422,113.72000122070313,114.05000305175781,3845900,94.32801055908203
UNH,2015-02-26,114.41000366210938,114.62000274658203,113.37000274658203,113.66000366210938,3126800,94.0054702758789
UNH,2015-02-27,113.7699966430664,114.25,113.41000366210938,113.62999725341797,4016400,93.98063659667969
UNH,2015-03-02,113.62999725341797,114.8499984741211,113.62999725341797,114.4000015258789,2952200,94.61748504638672
UNH,2015-03-03,113.94999694824219,114.48999786376953,112.36000061035156,112.86000061035156,3163700,93.3437728881836
UNH,2015-03-04,112.25,113.97000122070313,111.6500015258789,113.81999969482422,3180900,94.13776397705078
UNH,2015-03-05,114.06999969482422,115.72000122070313,114.06999969482422,114.79000091552734,2941400,94.94005584716797
UNH,2015-03-06,115.16000366210938,115.16000366210938,112.61000061035156,112.87999725341797,3196900,93.36031341552734
UNH,2015-03-09,112.97000122070313,114.95999908447266,112.87000274658203,114.9000015258789,3942000,95.03099060058594
UNH,2015-03-10,114.26000213623047,114.41000366210938,112.45999908447266,112.45999908447266,3957900,93.01293182373047
UNH,2015-03-11,112.9000015258789,113.58999633789063,112.63999938964844,112.72000122070313,2593700,93.5398941040039
UNH,2015-03-12,113.31999969482422,115.05000305175781,113.1500015258789,114.87999725341797,3258600,95.33235931396484
UNH,2015-03-13,114.44000244140625,115.38999938964844,113.52999877929688,115.25,3066800,95.63938903808594
UNH,2015-03-16,116,118.69000244140625,115.81999969482422,118.5199966430664,4692200,98.35298156738281
UNH,2015-03-17,118.08000183105469,118.12999725341797,116.91999816894531,117.5999984741211,3303500,97.589569091796875
