symbol,date,open,high,low,close,volume,adjusted
META,2015-01-02,78.58000183105469,78.93000030517578,77.69999694824219,78.44999694824219,18177500,77.76707458496094
META,2015-01-05,77.9800033569336,79.25,76.86000061035156,77.19000244140625,26452200,76.51805877685547
META,2015-01-06,77.2300033569336,77.589996337890625,75.36000061035156,76.1500015258789,27399300,75.48709869384766
META,2015-01-07,76.76000213623047,77.36000061035156,75.81999969482422,76.1500015258789,22045300,75.48709869384766
META,2015-01-08,76.73999786376953,78.2300033569336,76.08000183105469,78.18000030517578,23961000,77.49942779541016
META,2015-01-09,78.19999694824219,78.62000274658203,77.19999694824219,77.73999786376953,21157000,77.0632553100586
META,2015-01-12,77.839996337890625,78,76.20999908447266,76.720001220703125,19190200,76.05213165283203
META,2015-01-13,77.2300033569336,78.08000183105469,75.8499984741211,76.44999694824219,25179600,75.78448486328125
META,2015-01-14,76.41999816894531,77.19999694824219,76.029998779296875,76.279998779296875,25918600,75.61595153808594
META,2015-01-15,76.4000015258789,76.56999969482422,73.54000091552734,74.05000305175781,34134000,73.40538787841797
META,2015-01-16,74.04000091552734,75.31999969482422,73.839996337890625,75.18000030517578,21791500,74.52555084228516
META,2015-01-20,75.720001220703125,76.30999755859375,74.81999969482422,76.23999786376953,22821600,75.576324462890625
META,2015-01-21,76.160003662109375,77.30000305175781,75.8499984741211,76.73999786376953,25096700,76.07196044921875
META,2015-01-22,77.16999816894531,77.75,76.68000030517578,77.6500015258789,19519500,76.97403717041016
META,2015-01-23,77.6500015258789,78.19000244140625,77.04000091552734,77.83000183105469,16746500,77.15247344970703
META,2015-01-26,77.9800033569336,78.470001220703125,77.29000091552734,77.5,19260800,76.82536315917969
META,2015-01-27,76.70999908447266,76.87999725341797,75.62999725341797,75.779998779296875,20110000,75.120330810546875
META,2015-01-28,76.9000015258789,77.63999938964844,76,76.23999786376953,53306400,75.576324462890625
META,2015-01-29,76.8499984741211,78.0199966430664,74.20999908447266,78,61293500,77.32099914550781
META,2015-01-30,78,78.160003662109375,75.75,75.910003662109375,42649500,75.24920654296875
META,2015-02-02,76.11000061035156,76.13999938964844,73.75,74.98999786376953,41955300,74.33719635009766
META,2015-02-03,75.19000244140625,75.58000183105469,73.86000061035156,75.4000015258789,26957700,74.74363708496094
META,2015-02-04,75.089996337890625,76.3499984741211,75.01000213623047,75.62999725341797,20277400,74.97162628173828
META,2015-02-05,75.70999908447266,75.9800033569336,75.20999908447266,75.61000061035156,15062600,74.951812744140625
META,2015-02-06,75.68000030517578,75.69999694824219,74.25,74.470001220703125,21211000,73.82171630859375
META,2015-02-09,74.05000305175781,74.83000183105469,73.44999694824219,74.44000244140625,16194300,73.7919921875
META,2015-02-10,74.8499984741211,75.339996337890625,74.5,75.19000244140625,15811300,74.53546142578125
META,2015-02-11,75.089996337890625,76.75,75.029998779296875,76.51000213623047,20877400,75.8439712524414
META,2015-02-12,76.86000061035156,76.87000274658203,75.88999938964844,76.2300033569336,17235000,75.56641387939453
META,2015-02-13,76.45999908447266,76.4800033569336,75.5,75.73999786376953,18621900,75.08068084716797
META,2015-02-17,75.30000305175781,76.910003662109375,75.08000183105469,75.5999984741211,25254400,74.94190216064453
META,2015-02-18,75.94000244140625,76.9000015258789,75.44999694824219,76.70999908447266,22426400,76.0422134399414
META,2015-02-19,76.98999786376953,79.839996337890625,76.94999694824219,79.41999816894531,45851200,78.7286376953125
