stock,term,beta,se,tstat,p,r2,adj_r2,n
AMZN,(Intercept),0.002516631281087051,0.0015611772866229745,1.6120086441501114,0.10748766989156064,0.3733683556654754,0.3649853236342443,607
AMZN,d_rate,-0.016398248372090876,0.018835557351038514,-0.8706006446465332,0.3843215887638922,0.3733683556654754,0.3649853236342443,607
AMZN,d_slope,0.02450782849043036,0.029629912276714812,0.8271313212658502,0.4084925584343261,0.3733683556654754,0.3649853236342443,607
AMZN,d_infl,-0.007879247950270835,0.027493333155804146,-0.2865875849108328,0.7745273841213262,0.3733683556654754,0.3649853236342443,607
AMZN,d_credit,0.00136817725217531,0.03513522316792006,0.0389403319180996,0.9689509569148533,0.3733683556654754,0.3649853236342443,607
AMZN,r_vix,-0.044965578871704825,0.0254832699638877,-1.764513696061199,0.07815598476743431,0.3733683556654754,0.3649853236342443,607
AMZN,r_oil,-0.03152868357727995,0.03159459406253509,-0.9979138682673153,0.31872474622159996,0.3733683556654754,0.3649853236342443,607
AMZN,r_usd,0.5671500276522554,0.26252665172364326,2.1603521925434195,0.031141952002653652,0.3733683556654754,0.3649853236342443,607
AMZN,GSPC,0.9812782833722007,0.23023192926837754,4.262129438303671,2.35234185637751e-5,0.3733683556654754,0.3649853236342443,607
AXON,(Intercept),0.002524365691462568,0.0025786642799666957,0.9789431338829306,0.32800394060155147,0.1973313763537467,0.18659333456583704,607
AXON,d_rate,4.717213265783174e-4,0.02975958508044481,0.015851072026144886,0.9873584908583977,0.1973313763537467,0.18659333456583704,607
AXON,d_slope,-0.0814932226551324,0.0395734501942661,-2.0592903134571814,0.03989883445842186,0.1973313763537467,0.18659333456583704,607
AXON,d_infl,-0.048833074697355296,0.04589216272809803,-1.0640830981682339,0.2877205326722086,0.1973313763537467,0.18659333456583704,607
AXON,d_credit,0.0305572825163979,0.04917658628872464,0.6213786849089232,0.5345872832385159,0.1973313763537467,0.18659333456583704,607
AXON,r_vix,-0.023372215222431006,0.02770430317029609,-0.8436312250398037,0.3992128410938538,0.1973313763537467,0.18659333456583704,607
AXON,r_oil,0.02012581749494103,0.05931111888296493,0.3393262152861101,0.7344831268060323,0.1973313763537467,0.18659333456583704,607
AXON,r_usd,-0.3009576625728399,0.47539444485711907,-0.6330693718208958,0.5269303577704204,0.1973313763537467,0.18659333456583704,607
AXON,GSPC,1.2208682979339394,0.20269330565405888,6.0232294993383855,2.9873476321903077e-9,0.1973313763537467,0.18659333456583704,607
GOOGL,(Intercept),0.0020150450047566183,0.0010874963348364048,1.8529211917387725,0.06438609810479608,0.43947262202679693,0.43197392800708856,607
GOOGL,d_rate,0.009227070944510163,0.01811818205657273,0.5092713449781713,0.6107499050637615,0.43947262202679693,0.43197392800708856,607
GOOGL,d_slope,0.034216895597382516,0.0248875112259135,1.3748620859186202,0.16968911503161754,0.43947262202679693,0.43197392800708856,607
GOOGL,d_infl,-0.014463405245064051,0.02105832027584031,-0.6868261597131067,0.49245852880497876,0.43947262202679693,0.43197392800708856,607
GOOGL,d_credit,0.02402681475924899,0.021617083220445858,1.111473482071067,0.26681125895806485,0.43947262202679693,0.43197392800708856,607
GOOGL,r_vix,-0.03485431984552017,0.01259553148812695,-2.767197230095073,0.005829013131886961,0.43947262202679693,0.43197392800708856,607
GOOGL,r_oil,-0.02740473235711737,0.024065043391351633,-1.1387776000007521,0.25525191142509546,0.43947262202679693,0.43197392800708856,607
GOOGL,r_usd,0.47932690911543635,0.21899269723611475,2.188780334527014,0.028998781545782087,0.43947262202679693,0.43197392800708856,607
GOOGL,GSPC,1.0379556728819213,0.08400488272993469,12.355896933024958,2.143707196857066e-31,0.43947262202679693,0.43197392800708856,607
META,(Intercept),6.948122059220836e-4,0.001523068459634743,0.4561923671433069,0.6484172820841752,0.3197302878681833,0.31062968971257376,607
META,d_rate,-0.025882499410078908,0.028714084526107745,-0.9013868920858588,0.3677455321828105,0.3197302878681833,0.31062968971257376,607
META,d_slope,0.05621571526354049,0.03248548197217682,1.7304873392886135,0.08405912384988376,0.3197302878681833,0.31062968971257376,607
META,d_infl,-0.04671151517841413,0.03823707773493294,-1.221628794496998,0.22232939566983642,0.3197302878681833,0.31062968971257376,607
META,d_credit,-0.04035940226704236,0.038864621823760596,-1.038461211588785,0.29947508627710523,0.3197302878681833,0.31062968971257376,607
META,r_vix,-0.013673247659231074,0.016134874213879123,-0.8474344130597204,0.39709206243746764,0.3197302878681833,0.31062968971257376,607
META,r_oil,-0.026619802180580254,0.03554234283502642,-0.7489602557754538,0.45417565185604303,0.3197302878681833,0.31062968971257376,607
META,r_usd,0.5298202903810268,0.2558573458874902,2.0707644275103525,0.038809304550002054,0.3197302878681833,0.31062968971257376,607
META,GSPC,1.199391329785961,0.14030670037547377,8.54835390310141,1.0432976234148745e-16,0.3197302878681833,0.31062968971257376,607
MSFT,(Intercept),0.0017270855271131543,9.82133541740305e-4,1.7585037611614622,0.07917330779848304,0.5180835184349535,0.511636475203314,607
MSFT,d_rate,1.4843737798623597e-4,0.015536024036197783,0.009554399352137194,0.9923799947312094,0.5180835184349535,0.511636475203314,607
MSFT,d_slope,0.019867294218727127,0.020264662462727203,0.9803910751175374,0.3272895730532037,0.5180835184349535,0.511636475203314,607
MSFT,d_infl,-0.0328360775197413,0.020683775155719068,-1.5875282569324447,0.11292162547659915,0.5180835184349535,0.511636475203314,607
MSFT,d_credit,0.04114827781305761,0.021150975409217485,1.9454553285105427,0.05218843149689052,0.5180835184349535,0.511636475203314,607
MSFT,r_vix,-0.005402556200512891,0.013060371608879816,-0.4136602205744027,0.6792712701686723,0.5180835184349535,0.511636475203314,607
MSFT,r_oil,-0.042586737681402045,0.02298017903485356,-1.8531943383387754,0.06434688796265245,0.5180835184349535,0.511636475203314,607
