stock,term,beta,se,tstat,p,r2,adj_r2,n
AMZN,(Intercept),-0.001924960577405223,0.002069286146743954,-0.930253450173709,0.35302991855604804,0.47571403467344625,0.46094541593185323,293
AMZN,d_rate,0.021739637335521134,0.025094118076932435,0.8663240233776185,0.3870437898260448,0.47571403467344625,0.46094541593185323,293
AMZN,d_slope,0.042345551785687545,0.03198083762006529,1.324091391499992,0.1865373697751094,0.47571403467344625,0.46094541593185323,293
AMZN,d_infl,-0.04005521279772186,0.033534688603435385,-1.1944411731802542,0.23330205374163568,0.47571403467344625,0.46094541593185323,293
AMZN,d_credit,-0.02502951466273484,0.046372699233887524,-0.5397467707561038,0.5897946223894894,0.47571403467344625,0.46094541593185323,293
AMZN,r_vix,-0.003166557682829548,0.02093706851679401,-0.15124169270829838,0.8798924350743857,0.47571403467344625,0.46094541593185323,293
AMZN,r_oil,-0.05356190202260453,0.04519347792263053,-1.1851688448120858,0.23694145276134218,0.47571403467344625,0.46094541593185323,293
AMZN,r_usd,0.042067804431593796,0.3614580351811358,0.11638364716532737,0.9074307498724403,0.47571403467344625,0.46094541593185323,293
AMZN,GSPC,1.4550490051375344,0.1517158178291863,9.590621636932703,4.719237663096528e-19,0.47571403467344625,0.46094541593185323,293
AXON,(Intercept),0.0019713865167829804,0.003814851364713285,0.5167662716870085,0.6057215062043405,0.2195341570421846,0.1975492037194293,293
AXON,d_rate,-0.029932065235999505,0.03475925129162427,-0.8611251429115809,0.389895556491471,0.2195341570421846,0.1975492037194293,293
AXON,d_slope,-0.11806877315199209,0.0490759282342617,-2.4058388175236582,0.016774583385860783,0.2195341570421846,0.1975492037194293,293
AXON,d_infl,0.01292435576882011,0.05680034486142056,0.22754009329261096,0.820167516203697,0.2195341570421846,0.1975492037194293,293
AXON,d_credit,0.041508881498744765,0.057575896087773436,0.7209419968985843,0.4715382307907393,0.2195341570421846,0.1975492037194293,293
AXON,r_vix,-0.00844927654209691,0.04602413389641719,-0.18358360770271126,0.8544711251946843,0.2195341570421846,0.1975492037194293,293
AXON,r_oil,-0.009788636428890982,0.06732420396463332,-0.14539550195102402,0.8845017524048331,0.2195341570421846,0.1975492037194293,293
AXON,r_usd,0.6264304151543493,0.7264247737902758,0.8623472625882723,0.3892240291796105,0.2195341570421846,0.1975492037194293,293
AXON,GSPC,1.4765291263383946,0.23153510005559455,6.377128677180527,7.291319011464204e-10,0.2195341570421846,0.1975492037194293,293
GOOGL,(Intercept),0.0012582712684586562,0.0019193465592231354,0.655572732507436,0.5126297743429058,0.4111479987275017,0.3945606184099666,293
GOOGL,d_rate,0.03957696960915117,0.026408761782477478,1.4986302627566186,0.1350802718331657,0.4111479987275017,0.3945606184099666,293
GOOGL,d_slope,0.059610921280302286,0.032817037680729785,1.816462590567884,0.07035358193420102,0.4111479987275017,0.3945606184099666,293
GOOGL,d_infl,-0.03489620776442219,0.03079498702414397,-1.133178193485283,0.2580951450798813,0.4111479987275017,0.3945606184099666,293
GOOGL,d_credit,0.025765031753333386,0.034692904899486794,0.7426599711952782,0.45830139684215687,0.4111479987275017,0.3945606184099666,293
GOOGL,r_vix,-6.947882429877841e-4,0.018941342099299277,-0.03668104611306753,0.9707650908058143,0.4111479987275017,0.3945606184099666,293
GOOGL,r_oil,-0.021073423012860734,0.040439829507907275,-0.5211056344522969,0.6026992671845578,0.4111479987275017,0.3945606184099666,293
GOOGL,r_usd,0.04710016665828442,0.3438726877888463,0.1369697807672533,0.8911517302386697,0.4111479987275017,0.3945606184099666,293
GOOGL,GSPC,1.3216182616188272,0.1515643674366832,8.719848101308774,2.383355486475129e-16,0.4111479987275017,0.3945606184099666,293
META,(Intercept),-0.001337163952466019,0.002574628673378264,-0.5193618661565971,0.6039129305209419,0.30054517667717306,0.280842223907516,293
META,d_rate,0.007258368537586579,0.04304382367829042,0.1686274107949989,0.8662097504116634,0.30054517667717306,0.280842223907516,293
META,d_slope,0.06269492493688718,0.04243662182355847,1.477377845898243,0.14068244197786844,0.30054517667717306,0.280842223907516,293
META,d_infl,-0.11013068652437134,0.057994589521366095,-1.8989820849373804,0.058580151217066334,0.30054517667717306,0.280842223907516,293
META,d_credit,-0.08363749258934287,0.06008518327769255,-1.3919819833585236,0.16501695954440113,0.30054517667717306,0.280842223907516,293
META,r_vix,0.03603614296422085,0.026615608233231655,1.3539477530792223,0.17682946423373266,0.30054517667717306,0.280842223907516,293
META,r_oil,-0.058367107898162005,0.06240533810787905,-0.9352903079743559,0.35043328830414844,0.30054517667717306,0.280842223907516,293
META,r_usd,0.3542643033314834,0.4535402841038903,0.7811087917613373,0.4353891354103072,0.30054517667717306,0.280842223907516,293
META,GSPC,1.6169581910837172,0.21547758087027438,7.504066940760705,7.998360440064659e-13,0.30054517667717306,0.280842223907516,293
MSFT,(Intercept),-5.875165102291696e-4,0.0016755519123375414,-0.3506405894697304,0.7261179422396024,0.4852082033915379,0.47070702602228554,293
MSFT,d_rate,0.021487140101084996,0.016465558916722904,1.3049748392848073,0.1929577690444401,0.4852082033915379,0.47070702602228554,293
MSFT,d_slope,0.010373312568313557,0.024578268440594818,0.42205221223723083,0.6733062217105663,0.4852082033915379,0.47070702602228554,293
MSFT,d_infl,-0.036205142168199186,0.024658738205423237,-1.4682479641329145,0.14314355287926198,0.4852082033915379,0.47070702602228554,293
MSFT,d_credit,0.052428762590489,0.028288415777340932,1.8533651019257333,0.06486706029776138,0.4852082033915379,0.47070702602228554,293
MSFT,r_vix,0.03757787701576158,0.017192491739772938,2.1857144144399556,0.02965313807913549,0.4852082033915379,0.47070702602228554,293
MSFT,r_oil,-0.06773355984019604,0.03829951340027292,-1.7685227259235459,0.07804700273862447,0.4852082033915379,0.47070702602228554,293
MSFT,r_usd,0.28745611653856695,0.27351378999256454,1.0509748577809603,0.294163584320381,0.4852082033915379,0.47070702602228554,293
MSFT,GSPC,1.442948809911083,0.11339908156827799,12.724519369605991,1.1745978528090208e-29,0.4852082033915379,0.47070702602228554,293
NVDA,(Intercept),0.0025926334741766402,0.0027225904052835094,0.952267175093737,0.3417712430672708,0.5205161100548285,0.5070095216056687,293
NVDA,d_rate,0.059896893733143886,0.030592652996006844,1.9578849124645066,0.05122249342384346,0.5205161100548285,0.5070095216056687,293
NVDA,d_slope,-0.08685887698562593,0.045600559177580983,-1.9047765762558708,0.05781924130530598,0.5205161100548285,0.5070095216056687,293
NVDA,d_infl,-0.12372370818038302,0.0457739986081955,-2.7029255023010204,0.007287287419813726,0.5205161100548285,0.5070095216056687,293
NVDA,d_credit,-0.05999253496593217,0.05417299025476715,-1.1074252073551156,0.26904718843818287,0.5205161100548285,0.5070095216056687,293
NVDA,r_vix,0.06613552254748088,0.025715659895938974,2.5717995499670234,0.010625916652002805,0.5205161100548285,0.5070095216056687,293
NVDA,r_oil,0.013380720655707825,0.055620032492347767,0.24057376553220733,0.8100590559787589,0.5205161100548285,0.5070095216056687,293
NVDA,r_usd,0.33189026531117893,0.4769273534155943,0.6958927034364706,0.4870651022425334,0.5205161100548285,0.5070095216056687,293
