week,stock,factor,beta
2022-01-03,AMZN,d_rate,-0.011790028068075928
2022-01-03,AMZN,d_credit,-0.23890151731845757
2022-01-03,AMZN,r_vix,0.11145118606472676
2022-01-03,AMZN,GSPC,2.0303171127709216
2022-01-10,AMZN,d_rate,-0.016124580837141717
2022-01-10,AMZN,d_credit,-0.2443996398753206
2022-01-10,AMZN,r_vix,0.10664733414009543
2022-01-10,AMZN,GSPC,1.9627637847869621
2022-01-17,AMZN,d_rate,-0.004195138167920367
2022-01-17,AMZN,d_credit,-0.2664296783493547
2022-01-17,AMZN,r_vix,0.12121388305881034
2022-01-17,AMZN,GSPC,2.1656141371062563
2022-01-24,AMZN,d_rate,-0.0043632620473056495
2022-01-24,AMZN,d_credit,-0.2507365999410479
2022-01-24,AMZN,r_vix,0.11526784996063026
2022-01-24,AMZN,GSPC,2.161198853652182
2022-01-31,AMZN,d_rate,0.03295135844037559
2022-01-31,AMZN,d_credit,-0.22483264056516986
2022-01-31,AMZN,r_vix,0.11413611877863167
2022-01-31,AMZN,GSPC,2.207697772452437
2022-02-07,AMZN,d_rate,0.03445008637134126
2022-02-07,AMZN,d_credit,-0.2048792673729694
2022-02-07,AMZN,r_vix,0.11622709942395311
2022-02-07,AMZN,GSPC,2.222315129926755
2022-02-14,AMZN,d_rate,0.030301741615103316
2022-02-14,AMZN,d_credit,-0.1487098326090475
2022-02-14,AMZN,r_vix,0.09254370808867443
2022-02-14,AMZN,GSPC,1.9803953379483612
2022-02-21,AMZN,d_rate,0.043094482872824934
2022-02-21,AMZN,d_credit,-0.14833843279052747
2022-02-21,AMZN,r_vix,0.10048827699600373
2022-02-21,AMZN,GSPC,1.9967434797025716
2022-02-28,AMZN,d_rate,0.06086007485471342
2022-02-28,AMZN,d_credit,-0.14785294251068712
2022-02-28,AMZN,r_vix,0.10062450601013082
2022-02-28,AMZN,GSPC,2.0105421561970074
2022-03-07,AMZN,d_rate,0.08391687304509864
2022-03-07,AMZN,d_credit,-0.13530165527588708
2022-03-07,AMZN,r_vix,0.07916745029773618
2022-03-07,AMZN,GSPC,1.7415976323526363
2022-03-14,AMZN,d_rate,0.07893964478301398
2022-03-14,AMZN,d_credit,-0.13457391993468318
