week,stock,factor,beta
2016-06-27,AMZN,d_credit,0.045835057385540855
2016-06-27,AMZN,r_vix,-0.013877710952873653
2016-06-27,AMZN,GSPC,1.2412296018787647
2016-07-04,AMZN,d_rate,0.03723728762495008
2016-07-04,AMZN,d_credit,0.03879321588869981
2016-07-04,AMZN,r_vix,-0.015851119311579436
2016-07-04,AMZN,GSPC,1.224582734714438
2016-07-11,AMZN,d_rate,0.02605474747722423
2016-07-11,AMZN,d_credit,0.05418377075760191
2016-07-11,AMZN,r_vix,-0.002106644847916825
2016-07-11,AMZN,GSPC,1.2878849182243157
2016-07-18,AMZN,d_rate,0.04256526385202193
2016-07-18,AMZN,d_credit,0.08996940551752759
2016-07-18,AMZN,r_vix,-2.5622241895520285e-4
2016-07-18,AMZN,GSPC,1.446003819919623
2016-07-25,AMZN,d_rate,0.039775852122766006
2016-07-25,AMZN,d_credit,0.10072793010769387
2016-07-25,AMZN,r_vix,-0.002375036118500071
2016-07-25,AMZN,GSPC,1.460698024440648
2016-08-01,AMZN,d_rate,0.03388436487346584
2016-08-01,AMZN,d_credit,0.09141595754067214
2016-08-01,AMZN,r_vix,-0.001327573932209149
2016-08-01,AMZN,GSPC,1.4541847648368411
2016-08-08,AMZN,d_rate,0.033878207753873714
2016-08-08,AMZN,d_credit,0.09371501307210064
2016-08-08,AMZN,r_vix,-0.0010447262449785266
2016-08-08,AMZN,GSPC,1.4615187493896475
2016-08-15,AMZN,d_rate,0.029467990677566284
2016-08-15,AMZN,d_credit,0.09623284193354993
2016-08-15,AMZN,r_vix,-4.5422111214639216e-5
2016-08-15,AMZN,GSPC,1.4852738648896364
2016-08-22,AMZN,d_rate,0.01891409766068195
2016-08-22,AMZN,d_credit,0.07474776595211267
2016-08-22,AMZN,r_vix,0.00835136908564022
2016-08-22,AMZN,GSPC,1.5034101152631285
2016-08-29,AMZN,d_rate,0.019146053224956373
2016-08-29,AMZN,d_credit,0.07631037590714185
2016-08-29,AMZN,r_vix,0.013625700805876646
2016-08-29,AMZN,GSPC,1.5566924939162319
2016-09-05,AMZN,d_rate,0.015953651466694106
2016-09-05,AMZN,d_credit,0.07411527220607356
2016-09-05,AMZN,r_vix,0.019251559099567377
2016-09-05,AMZN,GSPC,1.5619144540365013
2016-09-12,AMZN,d_rate,0.019508591980706775
2016-09-12,AMZN,d_credit,0.07551784539942287
2016-09-12,AMZN,r_vix,0.018985983056284485
2016-09-12,AMZN,GSPC,1.5625074143655826
2016-09-19,AMZN,d_rate,0.021142103852255366
2016-09-19,AMZN,d_credit,0.07858861016690737
2016-09-19,AMZN,r_vix,0.011234523728206249
2016-09-19,AMZN,GSPC,1.502473685060278
2016-09-26,AMZN,d_rate,0.018319538376516654
2016-09-26,AMZN,d_credit,0.10066674924048831
2016-09-26,AMZN,r_vix,0.015176422247442607
2016-09-26,AMZN,GSPC,1.5793647749193778
2016-10-03,AMZN,d_rate,0.03176242793110953
2016-10-03,AMZN,d_credit,0.10142623537706513
2016-10-03,AMZN,r_vix,0.014801426610585056
2016-10-03,AMZN,GSPC,1.6207540173857822
2016-10-10,AMZN,d_rate,0.032788099826947595
2016-10-10,AMZN,d_credit,0.08910166820750494
2016-10-10,AMZN,r_vix,0.016627626811912516
2016-10-10,AMZN,GSPC,1.6053161503849098
2016-10-17,AMZN,d_rate,0.03347177154401393
2016-10-17,AMZN,d_credit,0.0909235236801987
2016-10-17,AMZN,r_vix,0.017192112684101944
2016-10-17,AMZN,GSPC,1.595812322168328
2016-10-24,AMZN,d_rate,0.008797032235366077
2016-10-24,AMZN,d_credit,0.08276313857373155
2016-10-24,AMZN,r_vix,0.0023278897973770052
2016-10-24,AMZN,GSPC,1.5155937365557435
2016-10-31,AMZN,d_rate,-0.011425898628051502
2016-10-31,AMZN,d_credit,0.06327202470862581
2016-10-31,AMZN,r_vix,0.0016041694348017765
2016-10-31,AMZN,GSPC,1.4856923092143748
2016-11-07,AMZN,d_rate,-0.02028574444685131
2016-11-07,AMZN,d_credit,0.015514608142924463
2016-11-07,AMZN,r_vix,0.01940923034827915
2016-11-07,AMZN,GSPC,1.4380078533962533
2016-11-14,AMZN,d_rate,-0.00625580635971799
2016-11-14,AMZN,d_credit,0.0064965938005412316
2016-11-14,AMZN,r_vix,0.016445497665055073
2016-11-14,AMZN,GSPC,1.3989434834089924
2016-11-21,AMZN,d_rate,-0.006197537787611428
2016-11-21,AMZN,d_credit,0.005150665076283905
2016-11-21,AMZN,r_vix,0.01740385372593139
2016-11-21,AMZN,GSPC,1.408820747821048
2016-11-28,AMZN,d_rate,-0.004837616619245998
2016-11-28,AMZN,d_credit,0.02570492294820166
2016-11-28,AMZN,r_vix,0.013143535884527404
2016-11-28,AMZN,GSPC,1.4379618892211423
2016-12-05,AMZN,d_rate,-0.00738326594002944
2016-12-05,AMZN,d_credit,0.022414345809862665
2016-12-05,AMZN,r_vix,0.014331056213858101
2016-12-05,AMZN,GSPC,1.4260222179420377
2016-12-12,AMZN,d_rate,-0.023625770174206834
2016-12-12,AMZN,d_credit,0.011390257538485406
2016-12-12,AMZN,r_vix,0.03417999998498677
2016-12-12,AMZN,GSPC,1.5896934321609244
2016-12-19,AMZN,d_rate,-0.025923626847851346
2016-12-19,AMZN,d_credit,0.027414423990900605
2016-12-19,AMZN,r_vix,0.05464971266273133
2016-12-19,AMZN,GSPC,1.8545318335310783
2016-12-26,AMZN,d_rate,-0.026415647903645888
2016-12-26,AMZN,d_credit,0.025181473064293886
2016-12-26,AMZN,r_vix,0.058480560927485783
2016-12-26,AMZN,GSPC,1.9119156108752866
2017-01-02,AMZN,d_rate,-0.028496838437966205
2017-01-02,AMZN,d_credit,0.022065060741514646
2017-01-02,AMZN,r_vix,0.04479471531566064
2017-01-02,AMZN,GSPC,1.7829933500909458
2017-01-09,AMZN,d_rate,-0.028325220836375484
2017-01-09,AMZN,d_credit,0.03172222449359061
2017-01-09,AMZN,r_vix,0.021519730579511745
2017-01-09,AMZN,GSPC,1.4878060339381374
2017-01-16,AMZN,d_rate,-0.04033434462245739
2017-01-16,AMZN,d_credit,0.006579160714611416
2017-01-16,AMZN,r_vix,0.030569783039325678
2017-01-16,AMZN,GSPC,1.5185344349864367
2017-01-23,AMZN,d_rate,-0.04841279772396527
2017-01-23,AMZN,d_credit,0.04018511585793728
2017-01-23,AMZN,r_vix,0.038526449010550023
2017-01-23,AMZN,GSPC,1.7453496794171557
2017-01-30,AMZN,d_rate,-0.06015560137870551
2017-01-30,AMZN,d_credit,0.007586505707323028
2017-01-30,AMZN,r_vix,-0.047211934600543445
2017-01-30,AMZN,GSPC,0.3448852584208293
2017-02-06,AMZN,d_rate,-0.06130224380253811
2017-02-06,AMZN,d_credit,0.0070344875443252375
2017-02-06,AMZN,r_vix,-0.046131316984022654
2017-02-06,AMZN,GSPC,0.359150957974115
2017-02-13,AMZN,d_rate,-0.06336302529603802
2017-02-13,AMZN,d_credit,9.523877064867111e-4
2017-02-13,AMZN,r_vix,-0.043649408306292783
2017-02-13,AMZN,GSPC,0.31427669482435416
2017-02-20,AMZN,d_rate,-0.06020639158124422
2017-02-20,AMZN,d_credit,-0.010698494212195153
2017-02-20,AMZN,r_vix,-0.053170342647108945
2017-02-20,AMZN,GSPC,0.14938066388217922
2017-02-27,AMZN,d_rate,-0.06032653440114466
2017-02-27,AMZN,d_credit,-0.0013239073533691601
2017-02-27,AMZN,r_vix,-0.06020029400763408
2017-02-27,AMZN,GSPC,0.03031791441125677
2017-03-06,AMZN,d_rate,-0.060365353848420664
2017-03-06,AMZN,d_credit,-0.016095120965977167
2017-03-06,AMZN,r_vix,-0.05653337384240568
2017-03-06,AMZN,GSPC,0.05399460029280947
2017-03-13,AMZN,d_rate,-0.08523297757404126
2017-03-13,AMZN,d_credit,-0.07309303531501538
2017-03-13,AMZN,r_vix,-0.057310225833049656
2017-03-13,AMZN,GSPC,0.031995609651977876
2017-03-20,AMZN,d_rate,-0.08390653493127337
2017-03-20,AMZN,d_credit,-0.07462565970216582
2017-03-20,AMZN,r_vix,-0.03791251152716641
2017-03-20,AMZN,GSPC,0.3294376748066289
2017-03-27,AMZN,d_rate,-0.08013116366581632
2017-03-27,AMZN,d_credit,-0.056104731777085345
2017-03-27,AMZN,r_vix,-0.03817305454421126
2017-03-27,AMZN,GSPC,0.3799421737992479
2017-04-03,AMZN,d_rate,-0.0835433051465429
2017-04-03,AMZN,d_credit,-0.06246104768745941
2017-04-03,AMZN,r_vix,-0.03776294881579618
2017-04-03,AMZN,GSPC,0.3548776444128847
2017-04-10,AMZN,d_rate,-0.0819655878937174
2017-04-10,AMZN,d_credit,-0.04781364699886737
2017-04-10,AMZN,r_vix,-0.03537988162711738
2017-04-10,AMZN,GSPC,0.36847277797704725
2017-04-17,AMZN,d_rate,-0.0812983066088284
2017-04-17,AMZN,d_credit,-0.05502003461124659
2017-04-17,AMZN,r_vix,-0.03366825117650991
2017-04-17,AMZN,GSPC,0.3825215054953447
2017-04-24,AMZN,d_rate,-0.058765196586787576
2017-04-24,AMZN,d_credit,-0.004073379197919077
2017-04-24,AMZN,r_vix,-0.044368544567912276
2017-04-24,AMZN,GSPC,0.46878454638659994
2017-05-01,AMZN,d_rate,-0.057746984213455956
2017-05-01,AMZN,d_credit,-0.006983339561745416
2017-05-01,AMZN,r_vix,-0.03884388400679438
2017-05-01,AMZN,GSPC,0.5397379758642111
2017-05-08,AMZN,d_rate,-0.0522077237436839
2017-05-08,AMZN,d_credit,-0.012235210528473832
2017-05-08,AMZN,r_vix,-0.03552607058806289
2017-05-08,AMZN,GSPC,0.5974540499761973
2017-05-15,AMZN,d_rate,-0.04833715528288787
2017-05-15,AMZN,d_credit,-0.010651787809722079
2017-05-15,AMZN,r_vix,-0.036068846458709856
2017-05-15,AMZN,GSPC,0.5954661116725759
2017-05-22,AMZN,d_rate,-0.046133799411174334
2017-05-22,AMZN,d_credit,-0.0034819634584360238
2017-05-22,AMZN,r_vix,-0.03779708139445119
2017-05-22,AMZN,GSPC,0.6384226444305187
2017-05-29,AMZN,d_rate,-0.04151673878132525
2017-05-29,AMZN,d_credit,-6.796219010856522e-4
2017-05-29,AMZN,r_vix,-0.03878817485116834
2017-05-29,AMZN,GSPC,0.629493139246252
2017-06-05,AMZN,d_rate,-0.04577859252601637
2017-06-05,AMZN,d_credit,6.827387555634841e-4
2017-06-05,AMZN,r_vix,-0.03666646795841587
2017-06-05,AMZN,GSPC,0.6710284038128281
2017-06-12,AMZN,d_rate,-0.04602243827723086
2017-06-12,AMZN,d_credit,0.002330881392873144
2017-06-12,AMZN,r_vix,-0.03791337066458264
2017-06-12,AMZN,GSPC,0.6412095673587141
2017-06-19,AMZN,d_rate,-0.04734579951954878
2017-06-19,AMZN,d_credit,-0.0037694484607388944
2017-06-19,AMZN,r_vix,-0.03908053059523234
2017-06-19,AMZN,GSPC,0.6296239635176013
2017-06-26,AMZN,d_rate,-0.0616319777340571
2017-06-26,AMZN,d_credit,-0.0147480275376137
2017-06-26,AMZN,r_vix,-0.04191060099347295
2017-06-26,AMZN,GSPC,0.6687934845152789
2017-07-03,AMZN,d_rate,-0.05588739801043072
2017-07-03,AMZN,d_credit,-0.00447224518533221
2017-07-03,AMZN,r_vix,-0.043254727189005575
2017-07-03,AMZN,GSPC,0.6506020966754206
2017-07-10,AMZN,d_rate,-0.04994157917047188
2017-07-10,AMZN,d_credit,-0.01980680230618202
2017-07-10,AMZN,r_vix,-0.03585462036959107
2017-07-10,AMZN,GSPC,0.7622026417758968
2017-07-17,AMZN,d_rate,-0.054608296254111656
2017-07-17,AMZN,d_credit,-0.028787431150330518
2017-07-17,AMZN,r_vix,-0.034625397372004804
2017-07-17,AMZN,GSPC,0.7745530426775605
2017-07-24,AMZN,d_rate,-0.0535541045558294
2017-07-24,AMZN,d_credit,-0.03557327760831369
2017-07-24,AMZN,r_vix,-0.033050637239662214
2017-07-24,AMZN,GSPC,0.7958818694915549
2017-07-31,AMZN,d_rate,-0.05627649957564279
2017-07-31,AMZN,d_credit,-0.05067723004565547
2017-07-31,AMZN,r_vix,-0.027316939074630824
2017-07-31,AMZN,GSPC,0.8528931152534451
2017-08-07,AMZN,d_rate,-0.05615413642103585
2017-08-07,AMZN,d_credit,-0.05017278664692396
2017-08-07,AMZN,r_vix,-0.026950255724119812
2017-08-07,AMZN,GSPC,0.8559478781939106
2017-08-14,AMZN,d_rate,-0.054144092006415165
2017-08-14,AMZN,d_credit,-0.056878608892190215
2017-08-14,AMZN,r_vix,-0.024249840319472023
2017-08-14,AMZN,GSPC,0.8882531431096349
2017-08-21,AMZN,d_rate,-0.05275928549377231
2017-08-21,AMZN,d_credit,-0.05411583569925857
2017-08-21,AMZN,r_vix,-0.016964576098233045
2017-08-21,AMZN,GSPC,0.9855024412844543
2017-08-28,AMZN,d_rate,-0.04941356341523822
2017-08-28,AMZN,d_credit,-0.03880872751642307
2017-08-28,AMZN,r_vix,-0.018698102118371
2017-08-28,AMZN,GSPC,1.0100800608693485
