symbol,PC1,PC2,PC3
AMZN,0.37178420432275106,-0.08145413360712817,0.18513712248970207
AXON,0.26481640685558294,0.1976759807401772,-0.5452780086339974
GOOGL,0.32283802282269947,-0.24090772575820635,0.352315395362791
META,0.29907455648208114,0.0061069726300082144,0.312110359153968
MSFT,0.3690462663402305,-0.1512886497566368,0.07248628168555774
NVDA,0.34769003866052217,0.07456949816213157,0.09964016736687237
UNH,0.04199578565528509,-0.8243137728265879,-0.4818095783288078
SOFI,0.2831594060203318,0.26579485785810036,-0.31269681129776483
PLTR,0.3120684984099297,0.31449090881759134,-0.3168725577123003
GSPC,0.4019522908845449,-0.13682873764805564,0.0366976524277928
